stdgCd,lclgvNm,stlckId,stlckRprsPstnNm,stlckDtlPstnNm,stlckCnt,ctpvNm,sggNm,fcltRoadNmAddr,fcltLotnoAddr,lat,lot,wkdyOperBgngTm,wkdyOperEndTm,satOperBgngTm,satOperEndTm,lhldyOperBgngTm,lhldyOperEndTm,freeUtztnHr,instlYmd,custCntrTelno,mngInstNm,mngInstTelno,totCrtrYmd
"1100000000","서울특별시","TL214A","2호선 강변(1~21)","화장실 맞은편","21","서울특별시","광진구","서울특별시 광진구 강변역로 53","서울특별시 광진구 구의동 546-6 2호선 강변역","37.5349540000","127.0947580000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL214B","2호선 강변(22~59)","3번 출입구 주변","38","서울특별시","광진구","서울특별시 광진구 강변역로 53","서울특별시 광진구 구의동 546-6 2호선 강변역","37.5348540000","127.0949270000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL215","2호선 잠실나루","2,3번 출입구 주변","13","서울특별시","송파구","서울특별시 송파구 오금로 20","서울특별시 송파구 신천동 15 잠실나루역","37.5207360000","127.1038460000","050000","010000","050000","010000","050000","000000","000000","20240909","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL216A","2호선 잠실(1~47)","1,2번 출입구 주변","47","서울특별시","송파구","서울특별시 송파구 올림픽로 지하265","서울특별시 송파구 신천동 8 잠실역2호선","37.5133880000","127.1010570000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL216B","2호선 잠실(48~73)","1,2번 출입구 주변","26","서울특별시","송파구","서울특별시 송파구 올림픽로 지하265","서울특별시 송파구 신천동 8 잠실역2호선","37.5133470000","127.1010800000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL216C","2호선 잠실(74~95)","1,2번 출입구에서 3,4번  출입구 방향 통로 내부","22","서울특별시","송파구","서울특별시 송파구 올림픽로 지하265","서울특별시 송파구 신천동 8 잠실역2호선","37.5133120000","127.1010990000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL216D","2호선 잠실(96~108)","1,2번 출입구에서 3,4번  출입구 방향 통로 내부","13","서울특별시","송파구","서울특별시 송파구 올림픽로 지하265","서울특별시 송파구 신천동 8 잠실역2호선","37.5129680000","127.1000480000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL216F","8호선 잠실(109~125)","잠실역 B1층 10, 11번 출구 방면 (통로)","17","서울특별시","송파구","서울특별시 송파구 올림픽로 305","서울특별시 송파구 신천동 7-4 잠실역8호선","37.5147960000","127.1047320000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL217","2호선 잠실새내","7번 출입구 주변","21","서울특별시","송파구","서울특별시 송파구 올림픽로 지하140","서울특별시 송파구 잠실동 33 잠실새내역","37.5116410000","127.0860810000","050000","010000","050000","010000","050000","000000","000000","20240919","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL218A","2호선 2호선 종합운동장(1~39)","5번 출입구 주변","39","서울특별시","송파구","서울특별시 송파구 올림픽로 지하23","서울특별시 송파구 잠실동 122 종합운동장역","37.5110840000","127.0732360000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL218B","2호선 2호선 종합운동장(40~92)","6번 출입구 주변","53","서울특별시","송파구","서울특별시 송파구 올림픽로 지하23","서울특별시 송파구 잠실동 122 종합운동장역","37.5114850000","127.0733540000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL219A","2호선 삼성(1~30)","3,4,5,6번 출입구 방향 통로(역무실 맞은편)","30","서울특별시","강남구","서울특별시 강남구 테헤란로 지하538","서울특별시 강남구 삼성동 172-66 삼성역","37.5088250000","127.0627250000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL219B","2호선 삼성(31~47)","1,2,7,8번 출입구 방향 통로","17","서울특별시","강남구","서울특별시 강남구 테헤란로 지하538","서울특별시 강남구 삼성동 172-66 삼성역","37.5089860000","127.0636970000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL219C","2호선 삼성(48~64)","3,4번 출입구 방향 통로","17","서울특별시","강남구","서울특별시 강남구 테헤란로 지하538","서울특별시 강남구 삼성동 172-66 삼성역","37.5085810000","127.0626900000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL220A","2호선 선릉(1~17)","1,10번 출입구 방향 게이트 주변","17","서울특별시","강남구","서울특별시 강남구 테헤란로 지하340","서울특별시 강남구 삼성동 172-66 선릉역","37.5047370000","127.0495060000","050000","010000","050000","010000","050000","000000","000000","20240922","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL220B","2호선 선릉(18~34)","5번 출입구에서 10번 출입구 방향","17","서울특별시","강남구","서울특별시 강남구 테헤란로 지하340","서울특별시 강남구 삼성동 172-66 선릉역","37.5043440000","127.0482370000","050000","010000","050000","010000","050000","000000","000000","20240922","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL221","2호선 역삼","3,4번 출입구 통로","30","서울특별시","강남구","서울특별시 강남구 테헤란로 지하156","서울특별시 강남구 역삼동 804 역삼역","37.5005080000","127.0358280000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL222A","2호선 강남(1~52)","1번 출입구 통로","52","서울특별시","강남구","서울특별시 강남구 강남대로 지하396","서울특별시 강남구 역삼동 858 강남역","37.4981300000","127.0284030000","050000","010000","050000","010000","050000","000000","000000","20230317","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL222B","2호선 강남(53~78)","1,12번 출입구 통로 상가 맞은편","26","서울특별시","강남구","서울특별시 강남구 강남대로 지하396","서울특별시 강남구 역삼동 858 강남역","37.4980760000","127.0279850000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL223A","2호선 교대(1~22)","지하1층 6,7번 출구 주변","22","서울특별시","서초구","서울특별시 서초구 서초대로 지하294","서울특별시 서초구 서초동 1748-4 교대역","37.4938660000","127.0139570000","050000","010000","050000","010000","050000","000000","000000","20240925","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL223B","3호선 교대(23~35)","지하 1층 12,13번 출입구 사이 화장실 주변","13","서울특별시","서초구","서울특별시 서초구 서초대로 지하294","서울특별시 서초구 서초동 1748-4 교대역","37.4932610000","127.0136460000","050000","010000","050000","010000","050000","000000","000000","20240925","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL224","2호선 서초","지하1층 8번 출구 주변","13","서울특별시","서초구","서울특별시 서초구 서초대로 지하233","서울특별시 서초구 서초동 1748-5 서초역","37.4920810000","127.0079230000","050000","010000","050000","010000","050000","000000","000000","20240925","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL225","2호선 방배","지하1층 4번 출구 주변","13","서울특별시","서초구","서울특별시 서초구 방배로 지하80","서울특별시 서초구 방배동 912-14 방배역","37.4816780000","126.9979330000","050000","010000","050000","010000","050000","000000","000000","20240925","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL226A","2호선 사당(1~26)","지하1층 13,14번 출구 방향 편의점 맞은편","26","서울특별시","동작구","서울특별시 동작구 남부순환로 지하2089","서울특별시 동작구 사당동 1129 사당역(2호선)","37.4766920000","126.9821250000","050000","010000","050000","010000","050000","000000","000000","20240924","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL226B","4호선 사당(27~39)","지하 1층 11,12번 출입구에서 3,4번 출입구 가는 통로","13","서울특별시","동작구","서울특별시 동작구 동작대로 지하3","서울특별시 동작구 사당동 1129 사당역(2호선)","37.4769780000","126.9815910000","050000","010000","050000","010000","050000","000000","000000","20240924","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL226C","4호선 사당(40~52)","지하 1층 12번 출입구 주변","13","서울특별시","동작구","서울특별시 동작구 동작대로 지하3","서울특별시 동작구 사당동 1129 사당역(2호선)","37.4779630000","126.9819060000","050000","010000","050000","010000","050000","000000","000000","20240924","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL227","2호선 낙성대","7,8번 출입구 주변","13","서울특별시","관악구","서울특별시 관악구 남부순환로 지하1928","서울특별시 관악구 봉천동 1693-39","37.4769720000","126.9639410000","050000","010000","050000","010000","050000","000000","000000","20240929","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL228","2호선 서울대입구","5,6번 출입구 주변 화장실 주변","22","서울특별시","관악구","서울특별시 관악구 남부순환로 지하1822","서울특별시 관악구 봉천동 979-2","37.4812740000","126.9526250000","050000","010000","050000","010000","050000","000000","000000","20240929","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL229","2호선 봉천","4번 출입구 주변","13","서울특별시","관악구","서울특별시 관악구 남부순환로 지하1721","서울특별시 관악구 봉천동 979-7","37.4826850000","126.9410960000","050000","010000","050000","010000","050000","000000","000000","20240929","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL230A","2호선 신림(1~21)","3,4번 출입구 주변(아이센터 주변)","21","서울특별시","관악구","서울특별시 관악구 남부순환로 지하1614","서울특별시 관악구 신림동 1467-10","37.4842150000","126.9296730000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL230B","2호선 신림(22~50)","1,8번 출입구 사이 벽면","29","서울특별시","관악구","서울특별시 관악구 남부순환로 지하1614","서울특별시 관악구 신림동 1467-10","37.4842870000","126.9301800000","050000","010000","050000","010000","050000","000000","000000","20230322","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL231","2호선 신대방","1번 출입구 주변","13","서울특별시","동작구","서울특별시 동작구 대림로 2","서울특별시 동작구 신대방동 643-1 신대방역2호선","37.4873370000","126.9130520000","050000","010000","050000","010000","050000","000000","000000","20240930","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL232","2호선 구로디지탈단지","6번 출입구 주변","17","서울특별시","구로구","서울특별시 구로구 도림천로 477","서울특별시 구로구 구로동 810-3 구로디지털단지역","37.4851290000","126.9025230000","050000","010000","050000","010000","050000","000000","000000","20240930","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL233A","2호선 대림(1~17)","1,2번 출입구 통로","17","서울특별시","구로구","서울특별시 구로구 도림천로 351","서울특별시 구로구 구로동 1204 대림역","37.4925820000","126.8952060000","050000","010000","050000","010000","050000","000000","000000","20240930","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL233B","7호선 대림(18~30)","대림역 B1층 게이트 주변 (9, 10번 출구)","13","서울특별시","영등포구","서울특별시 영등포구 도림로 지하137","서울특별시 영등포구 대림동 1050-17 대림역","37.4932040000","126.8971640000","050000","010000","050000","010000","050000","000000","000000","20240930","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL2341","2호선 도림천","1번 출입구 게이트 주변","9","서울특별시","구로구","서울특별시 구로구 경인로67길 160","서울특별시 구로구 신도림동 323-16 도림천역","37.5143950000","126.8827670000","050000","010000","050000","010000","050000","000000","000000","20241003","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL2342","2호선 양천구청","2번 출입구 상가(던킨도너츠) 주변","9","서울특별시","양천구","서울특별시 양천구 목동로3길 지하33","서울특별시 양천구 신정동 276-7 양천구청역","37.5125010000","126.8657130000","050000","010000","050000","010000","050000","000000","000000","20241003","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL2343","2호선 신정네거리","3번 출입구 주변","9","서울특별시","양천구","서울특별시 양천구 중앙로 지하261","서울특별시 양천구 신정동 1231 신정네거리역","37.5206040000","126.8526660000","050000","010000","050000","010000","050000","000000","000000","20241003","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL234A","2호선 신도림(1~32)","1번 출입구 외부문 주변","32","서울특별시","구로구","서울특별시 구로구 새말로 지하117-21","서울특별시 구로구 신도림동 460-26 2호선 신도림역","37.5092530000","126.8905850000","050000","010000","050000","010000","050000","000000","000000","20241001","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
"1100000000","서울특별시","TL234B","2호선 신도림(33~53)","2번 출입구 주변","21","서울특별시","구로구","서울특별시 구로구 새말로 지하117-21","서울특별시 구로구 신도림동 460-26 2호선 신도림역","37.5079880000","126.8915190000","050000","010000","050000","010000","050000","000000","000000","20241001","18771265","서울도시철도엔지니어링(주)","18771265","20260410"
